Item_to_craft,a,item_id_1,b,item_id_2,c,item_id_3,d,item_id_4,e,item_id_5,f,item_id_6,g,item_id_7,h,item_id_8
39,1,473,1,441,,,,,,,,,,,,
40,2,473,2,303,,,,,,,,,,,,
42,2,303,3,473,,,,,,,,,,,,
43,2,303,4,473,,,,,,,,,,,,
44,2,303,5,473,,,,,,,,,,,,
46,3,441,5,473,5,312,,,,,,,,,,
47,4,441,5,473,5,476,,,,,,,,,,
48,5,312,5,441,5,473,,,,,,,,,,
49,5,312,5,473,6,441,,,,,,,,,,
51,1,444,3,446,3,442,4,441,,,,,,,,
53,1,350,3,446,4,441,5,442,,,,,,,,
54,1,444,4,441,4,446,5,442,,,,,,,,
55,1,444,3,442,4,441,5,446,,,,,,,,
58,1,444,2,441,4,442,5,350,,,,,,,,
59,1,444,4,443,4,442,,,,,,,,,,
60,1,444,4,442,5,443,,,,,,,,,,
61,2,444,4,442,5,443,,,,,,,,,,
62,2,444,5,443,6,442,,,,,,,,,,
65,1,313,1,477,2,315,2,466,5,463,,,,,,
66,1,466,5,312,5,442,6,350,10,474,,,,,,
67,1,350,3,441,3,446,5,476,,,,,,,,
68,2,473,2,441,,,,,,,,,,,,
69,3,441,3,473,,,,,,,,,,,,
70,4,473,4,441,,,,,,,,,,,,
74,1,442,1,476,,,,,,,,,,,,
75,2,476,2,442,,,,,,,,,,,,
76,3,476,3,442,,,,,,,,,,,,
77,4,442,4,476,,,,,,,,,,,,
81,1,303,1,442,,,,,,,,,,,,
82,2,442,2,303,,,,,,,,,,,,
83,3,442,3,303,,,,,,,,,,,,
84,4,303,4,442,,,,,,,,,,,,
88,1,420,4,303,,,,,,,,,,,,
89,1,420,5,303,,,,,,,,,,,,
90,1,420,6,303,,,,,,,,,,,,
91,1,420,7,303,,,,,,,,,,,,
94,1,303,3,473,,,,,,,,,,,,
95,1,303,4,473,,,,,,,,,,,,
96,1,303,5,473,,,,,,,,,,,,
97,1,303,6,473,,,,,,,,,,,,
100,1,312,1,442,,,,,,,,,,,,
101,1,312,3,442,,,,,,,,,,,,
102,1,312,5,442,,,,,,,,,,,,
103,1,312,7,442,,,,,,,,,,,,
109,1,442,1,441,,,,,,,,,,,,
110,1,441,3,442,,,,,,,,,,,,
111,1,441,5,442,,,,,,,,,,,,
112,1,441,7,442,,,,,,,,,,,,
118,1,441,1,312,,,,,,,,,,,,
119,1,312,3,441,,,,,,,,,,,,
120,1,312,5,441,,,,,,,,,,,,
121,1,312,7,441,,,,,,,,,,,,
127,1,487,1,886,1,887,1,880,20,486,,,,,,
128,7,884,7,883,7,881,8,486,,,,,,,,
129,8,486,8,881,9,884,9,883,,,,,,,,
130,2,304,4,350,6,444,14,486,,,,,,,,
132,2,303,2,473,,,,,,,,,,,,
133,2,303,3,473,,,,,,,,,,,,
134,2,303,4,473,,,,,,,,,,,,
138,2,303,3,473,,,,,,,,,,,,
139,3,303,4,473,,,,,,,,,,,,
140,4,303,5,473,,,,,,,,,,,,
144,1,303,2,473,,,,,,,,,,,,
145,1,303,3,473,,,,,,,,,,,,
146,1,303,4,473,,,,,,,,,,,,
147,1,303,5,473,,,,,,,,,,,,
150,1,303,2,312,,,,,,,,,,,,
151,1,303,3,312,,,,,,,,,,,,
152,1,303,4,312,,,,,,,,,,,,
153,1,303,5,312,,,,,,,,,,,,
156,8,313,8,444,10,884,10,486,10,304,,,,,,
157,6,471,8,441,10,351,,,,,,,,,,
158,2,445,2,460,4,441,,,,,,,,,,
159,1,315,1,313,1,316,1,446,14,441,,,,,,
160,2,316,2,466,5,370,15,757,20,367,20,369,,,,
161,7,443,7,444,8,441,8,442,,,,,,,,
162,1,460,1,414,5,473,,,,,,,,,,
163,1,414,2,460,6,473,,,,,,,,,,
164,1,414,3,460,6,473,,,,,,,,,,
165,1,414,4,460,7,473,,,,,,,,,,
168,2,441,2,461,2,449,2,474,,,,,,,,
174,2,350,2,474,2,460,3,471,,,,,,,,
180,5,315,5,466,6,316,10,1660,10,6458,12,472,12,467,14,470
181,1,466,1,315,2,467,5,449,10,461,11,474,,,,
182,2,473,3,471,3,460,,,,,,,,,,
183,3,473,3,460,3,471,,,,,,,,,,
184,3,471,3,460,4,473,,,,,,,,,,
185,3,471,3,460,5,473,,,,,,,,,,
188,1,473,2,460,5,476,,,,,,,,,,
194,4,303,4,473,5,476,,,,,,,,,,
200,1,315,1,467,2,316,4,472,5,470,12,313,,,,
201,1,315,1,316,5,466,7,472,10,449,,,,,,
202,2,466,2,465,2,446,2,315,2,316,4,441,,,,
203,2,446,2,313,4,304,4,887,8,486,,,,,,
204,1,465,1,316,4,463,4,446,10,449,10,472,,,,
205,1,443,2,444,4,312,,,,,,,,,,
206,1,443,2,444,5,312,,,,,,,,,,
207,2,443,2,444,4,312,,,,,,,,,,
208,2,443,3,312,3,444,,,,,,,,,,
211,1,445,3,473,5,312,,,,,,,,,,
212,2,445,4,473,5,312,,,,,,,,,,
213,3,445,5,473,5,312,,,,,,,,,,
214,4,445,5,473,6,312,,,,,,,,,,
218,4,445,4,350,4,449,5,444,,,,,,,,
219,1,477,4,474,5,463,5,449,10,446,10,313,,,,
220,5,463,5,470,10,472,10,449,10,444,10,7032,,,,
221,1,445,5,476,6,473,,,,,,,,,,
222,2,445,5,473,5,476,,,,,,,,,,
223,3,445,4,473,5,476,,,,,,,,,,
224,3,445,5,476,5,473,,,,,,,,,,
227,2,476,3,443,3,479,,,,,,,,,,
228,3,443,3,476,4,479,,,,,,,,,,
229,2,476,4,443,5,479,,,,,,,,,,
230,3,476,4,443,6,479,,,,,,,,,,
233,1,481,1,350,1,315,4,313,8,460,8,461,8,474,,
234,1,449,3,316,5,465,7,313,10,350,12,474,,,,
235,1,460,2,474,8,441,,,,,,,,,,
236,1,445,5,442,5,476,10,444,,,,,,,,
237,2,441,4,446,5,471,6,473,,,,,,,,
238,2,441,6,473,6,476,,,,,,,,,,
239,4,441,6,476,6,473,,,,,,,,,,
240,6,473,6,441,6,476,,,,,,,,,,
241,6,476,6,473,8,441,,,,,,,,,,
244,2,445,2,460,6,476,,,,,,,,,,
245,3,445,4,460,6,476,,,,,,,,,,
246,3,460,4,445,6,476,,,,,,,,,,
247,4,460,5,445,5,476,,,,,,,,,,
250,2,316,5,465,10,313,10,449,10,2250,20,446,,,,
251,1,350,1,444,2,474,3,2357,,,,,,,,
252,1,883,1,441,,,,,,,,,,,,
253,2,441,2,883,,,,,,,,,,,,
254,3,441,3,883,,,,,,,,,,,,
255,4,441,4,883,,,,,,,,,,,,
256,1,312,1,883,,,,,,,,,,,,
257,2,883,2,312,,,,,,,,,,,,
258,3,883,3,312,,,,,,,,,,,,
259,4,883,4,312,,,,,,,,,,,,
260,1,312,1,884,,,,,,,,,,,,
261,2,312,2,884,,,,,,,,,,,,
262,2,312,4,884,,,,,,,,,,,,
263,4,312,4,884,,,,,,,,,,,,
264,1,420,7,473,7,476,,,,,,,,,,
265,1,420,8,476,9,473,,,,,,,,,,
266,1,420,10,476,10,473,,,,,,,,,,
267,1,420,11,476,12,473,,,,,,,,,,
270,1,420,2,449,3,316,4,313,5,474,10,472,,,,
271,1,460,1,471,2,445,9,310,,,,,,,,
272,1,420,2,449,5,474,5,350,,,,,,,,
273,1,420,1,441,5,449,5,461,5,474,,,,,,
278,2,442,2,441,6,445,,,,,,,,,,
279,1,385,2,441,,,,,,,,,,,,
280,2,473,4,442,,,,,,,,,,,,
282,1,311,1,1459,2,594,4,395,,,,,,,,
283,1,311,1,1459,2,380,2,593,,,,,,,,
285,2,289,,,,,,,,,,,,,,
286,1,519,1,311,,,,,,,,,,,,
293,1,444,2,445,4,471,5,460,,,,,,,,
294,1,444,4,445,5,471,6,460,,,,,,,,
295,1,444,6,445,6,471,7,460,,,,,,,,
296,1,444,7,471,8,460,8,445,,,,,,,,
297,1,881,1,883,,,,,,,,,,,,
298,10,366,10,301,,,,,,,,,,,,
299,3,486,10,442,10,304,10,441,,,,,,,,
315,10,543,10,311,,,,,,,,,,,,
316,10,311,10,544,,,,,,,,,,,,
317,2,473,3,471,4,449,4,472,5,303,,,,,,
318,3,471,4,449,4,473,5,472,8,303,,,,,,
319,4,473,4,449,4,472,4,471,23,303,,,,,,
320,4,449,5,303,5,473,7,472,9,471,,,,,,
323,1,313,2,446,2,442,2,466,2,292,,,,,,
324,3,476,3,441,,,,,,,,,,,,
325,1,310,2,476,,,,,,,,,,,,
326,1,315,4,445,4,444,4,442,5,443,,,,,,
327,4,471,5,441,5,443,,,,,,,,,,
328,1,445,3,350,5,442,6,312,,,,,,,,
329,1,313,1,420,2,449,2,461,3,474,,,,,,
331,1,420,1,460,2,449,5,461,,,,,,,,
332,1,471,1,420,2,449,2,461,2,474,,,,,,
333,1,472,12,470,25,285,25,286,50,311,50,284,,,,
334,1,471,1,474,1,449,8,310,,,,,,,,
335,1,410,6,449,7,2273,10,409,10,2330,,,,,,
336,1,472,2,418,5,471,5,593,20,305,,,,,,
337,1,429,1,420,2,460,5,449,,,,,,,,
338,1,350,1,474,4,442,8,445,,,,,,,,
339,2,441,2,442,2,350,5,446,,,,,,,,
340,4,476,4,445,,,,,,,,,,,,
341,1,474,1,465,4,463,8,446,9,7032,,,,,,
342,1,411,2,412,10,441,,,,,,,,,,
345,2,445,2,460,3,461,3,446,,,,,,,,
346,5,441,5,444,5,442,,,,,,,,,,
347,2,441,5,313,5,471,6,473,6,445,,,,,,
348,3,485,7,887,12,7013,18,304,24,384,,,,,,
352,1,473,3,441,5,444,,,,,,,,,,
353,1,449,2,444,4,441,4,350,,,,,,,,
354,2,444,3,446,5,442,6,441,,,,,,,,
355,2,445,2,443,4,441,,,,,,,,,,
356,6,444,6,883,10,304,16,486,,,,,,,,
357,2,445,3,312,3,444,,,,,,,,,,
358,2,445,5,444,6,313,10,442,,,,,,,,
359,4,441,4,442,5,444,5,446,,,,,,,,
389,10,288,,,,,,,,,,,,,,
390,5,391,5,392,,,,,,,,,,,,
396,8,398,,,,,,,,,,,,,,
397,5,391,5,392,5,422,,,,,,,,,,
399,10,287,,,,,,,,,,,,,,
420,10,423,,,,,,,,,,,,,,
422,5,421,,,,,,,,,,,,,,
427,5,428,,,,,,,,,,,,,,
436,1,476,2,460,2,471,10,434,12,435,,,,,,
454,1,312,2,303,,,,,,,,,,,,
