id,name,category_id
2,Potion Kraméléhone,12
4,Mimibiote,94
39,Petite Amulette du Hibou,1
40,Petite Epée de Boisaille,6
42,Epée de Boisaille,6
43,Grande Epée de Boisaille,6
44,Puissante Epée de Boisaille,6
46,Petite Epée de Fouraille,6
47,Epée de Fouraille,6
48,Grande Epée de Fouraille,6
49,Puissante Epée de Fouraille,6
51,Petite Epée d'Alle,6
53,Epée d'Alle,6
54,Grande Epée d'Alle,6
55,Puissante Epée d'Alle,6
58,La Triste Lame,6
59,Petite Epée d'Ha,6
60,Epée d'Ha,6
61,Grande Epée d'Ha,6
62,Puissante Epée d'Ha,6
65,Goultard,6
66,La crinière de Badoul,6
67,Le Tranchant Infernal,6
68,Amulette du Hibou,1
69,Belle Amulette du Hibou,1
70,Puissante Amulette du Hibou,1
74,Petite Amulette de l'Ours,1
75,Amulette de l'Ours,1
76,Belle Amulette de l'Ours,1
77,Puissante Amulette de l'Ours,1
81,Petite Amulette du Loup,1
82,Amulette du Loup,1
83,Belle Amulette du Loup,1
84,Puissante Amulette du Loup,1
88,Petit Arc de Boisaille,2
89,Arc de Boisaille,2
90,Grand Arc de Boisaille,2
91,Puissant Arc de Boisaille,2
94,Petites Dagues de Boisaille,5
95,Dagues de Boisaille,5
96,Grandes Dagues de Boisaille,5
97,Puissantes Dagues de Boisaille,5
100,Petit Anneau de Sagesse,9
101,Anneau de Sagesse,9
102,Grand Anneau de Sagesse,9
103,Puissant Anneau de Sagesse,9
109,Petit Anneau de Chance,9
110,Anneau de Chance,9
111,Grand Anneau de Chance,9
112,Puissant Anneau de Chance,9
118,Petit Anneau d'Agilité,9
119,Anneau d'Agilité,9
120,Grand Anneau d'Agilité,9
121,Puissant Anneau d'Agilité,9
126,Toniques,26
127,Bottes de Bowisse,11
128,Petites Bottes de Concentration,11
129,Bottes de Concentration,11
130,L'Ecrabouilleur de Iop,11
132,Baguette de Boisaille,3
133,Grande Baguette de Boisaille,3
134,Puissante Baguette de Boisaille,3
138,Bâton de Boisaille,4
139,Grand Bâton de Boisaille,4
140,Puissant Bâton de Boisaille,4
144,Petit Marteau de Boisaille,7
145,Marteau de Boisaille,7
146,Grand Marteau de Boisaille,7
147,Puissant Marteau de Boisaille,7
150,Petite Pelle de Boisaille,8
151,Pelle de Boisaille,8
152,Grande Pelle de Boisaille,8
153,Puissante Pelle de Boisaille,8
156,Ceinture de Puissance,10
157,La Gougnole,1
158,La Destinée Dorée,1
159,La Broche Céleste,1
160,Le Flan des Étoiles,1
161,La Célébrité,1
162,Petite Baguette de Glace,3
163,Baguette de Glace,3
164,Grande Baguette de Glace,3
165,Puissante Baguette de Glace,3
168,Petite Baguette d'Intelligence,3
174,Petite Baguette de Sagesse,3
180,La Baguette des Limbes,3
181,Baguette des Cieux,3
182,Petit Bâton Feuillu,4
183,Bâton Feuillu,4
184,Grand Bâton Feuillu,4
185,Puissant Bâton Feuillu,4
188,Bâton Kouyu,4
194,Bâton Spirituel,4
200,God Rod,4
201,Hook,4
202,Razielle,6
203,Ceinture du Tot,10
204,Kryst O'Boul,4
205,Petites Dagues de Fouraille,5
206,Dagues de Fouraille,5
207,Grandes Dagues de Fouraille,5
208,Puissantes Dagues de Fouraille,5
211,Petites Dagues de Croclage,5
212,Dagues de Croclage,5
213,Grandes Dagues de Croclage,5
214,Impressionantes Dagues de Croclage,5
218,Bashers,5
219,Blessdags,5
220,Chakra Style,5
221,Petit Marteau de Raclage,7
222,Marteau de Raclage,7
223,Grand Marteau de Raclage,7
224,Puissant Marteau de Raclage,7
227,Petit Marteau d'Ivoire,7
228,Marteau d'Ivoire,7
229,Grand Marteau d'Ivoire,7
230,Puissant Marteau d'Ivoire,7
233,Kaiser,7
234,Ragnarok,7
235,Cerberus,7
236,Barabas,7
