item_id,item_name,category_id,category_name
2,Potion Kraméléhone,12,Potion
4,Mimibiote,94,Objet utilisable
39,Petite Amulette du Hibou,1,Amulette
40,Petite Epée de Boisaille,6,Epée
42,Epée de Boisaille,6,Epée
43,Grande Epée de Boisaille,6,Epée
44,Puissante Epée de Boisaille,6,Epée
46,Petite Epée de Fouraille,6,Epée
47,Epée de Fouraille,6,Epée
48,Grande Epée de Fouraille,6,Epée
49,Puissante Epée de Fouraille,6,Epée
51,Petite Epée d'Alle,6,Epée
53,Epée d'Alle,6,Epée
54,Grande Epée d'Alle,6,Epée
55,Puissante Epée d'Alle,6,Epée
58,La Triste Lame,6,Epée
59,Petite Epée d'Ha,6,Epée
60,Epée d'Ha,6,Epée
61,Grande Epée d'Ha,6,Epée
62,Puissante Epée d'Ha,6,Epée
65,Goultard,6,Epée
66,La crinière de Badoul,6,Epée
67,Le Tranchant Infernal,6,Epée
68,Amulette du Hibou,1,Amulette
69,Belle Amulette du Hibou,1,Amulette
70,Puissante Amulette du Hibou,1,Amulette
74,Petite Amulette de l'Ours,1,Amulette
75,Amulette de l'Ours,1,Amulette
76,Belle Amulette de l'Ours,1,Amulette
77,Puissante Amulette de l'Ours,1,Amulette
81,Petite Amulette du Loup,1,Amulette
82,Amulette du Loup,1,Amulette
83,Belle Amulette du Loup,1,Amulette
84,Puissante Amulette du Loup,1,Amulette
88,Petit Arc de Boisaille,2,Arc
89,Arc de Boisaille,2,Arc
90,Grand Arc de Boisaille,2,Arc
91,Puissant Arc de Boisaille,2,Arc
94,Petites Dagues de Boisaille,5,Dague
95,Dagues de Boisaille,5,Dague
96,Grandes Dagues de Boisaille,5,Dague
97,Puissantes Dagues de Boisaille,5,Dague
100,Petit Anneau de Sagesse,9,Anneau
101,Anneau de Sagesse,9,Anneau
102,Grand Anneau de Sagesse,9,Anneau
103,Puissant Anneau de Sagesse,9,Anneau
109,Petit Anneau de Chance,9,Anneau
110,Anneau de Chance,9,Anneau
111,Grand Anneau de Chance,9,Anneau
112,Puissant Anneau de Chance,9,Anneau
118,Petit Anneau d'Agilité,9,Anneau
119,Anneau d'Agilité,9,Anneau
120,Grand Anneau d'Agilité,9,Anneau
121,Puissant Anneau d'Agilité,9,Anneau
126,Toniques,26,Potion de forgemagie
127,Bottes de Bowisse,11,Botte
128,Petites Bottes de Concentration,11,Botte
129,Bottes de Concentration,11,Botte
130,L'Ecrabouilleur de Iop,11,Botte
132,Baguette de Boisaille,3,Baguette
133,Grande Baguette de Boisaille,3,Baguette
134,Puissante Baguette de Boisaille,3,Baguette
138,Bâton de Boisaille,4,Bâton
139,Grand Bâton de Boisaille,4,Bâton
140,Puissant Bâton de Boisaille,4,Bâton
144,Petit Marteau de Boisaille,7,Marteau
145,Marteau de Boisaille,7,Marteau
146,Grand Marteau de Boisaille,7,Marteau
147,Puissant Marteau de Boisaille,7,Marteau
150,Petite Pelle de Boisaille,8,Pelle
151,Pelle de Boisaille,8,Pelle
152,Grande Pelle de Boisaille,8,Pelle
153,Puissante Pelle de Boisaille,8,Pelle
156,Ceinture de Puissance,10,Ceinture
157,La Gougnole,1,Amulette
158,La Destinée Dorée,1,Amulette
159,La Broche Céleste,1,Amulette
160,Le Flan des Étoiles,1,Amulette
161,La Célébrité,1,Amulette
162,Petite Baguette de Glace,3,Baguette
163,Baguette de Glace,3,Baguette
164,Grande Baguette de Glace,3,Baguette
165,Puissante Baguette de Glace,3,Baguette
168,Petite Baguette d'Intelligence,3,Baguette
174,Petite Baguette de Sagesse,3,Baguette
180,La Baguette des Limbes,3,Baguette
181,Baguette des Cieux,3,Baguette
182,Petit Bâton Feuillu,4,Bâton
183,Bâton Feuillu,4,Bâton
184,Grand Bâton Feuillu,4,Bâton
185,Puissant Bâton Feuillu,4,Bâton
188,Bâton Kouyu,4,Bâton
194,Bâton Spirituel,4,Bâton
200,God Rod,4,Bâton
201,Hook,4,Bâton
