Item_ID,Effect_1,Effect_2,Effect_3,Effect_4,Effect_5,Effect_6,Effect_7,Effect_8,Effect_9,Effect_10,Effect_11,Effect_12,Effect_13,Effect_14,Effect_15,Effect_16,Effect_17,Effect_18,Effect_19,Effect_20,Effect_21,Effect_22,Effect_23,Effect_24,Effect_25,Effect_26,Effect_27,Effect_28,Effect_29,Effect_30,Effect_31,Effect_32,Effect_33,Effect_34,Effect_35,Effect_36,Effect_37,Effect_38,Effect_39,Effect_40
2,945_9_9,983_64_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,853_0_0,983_64_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,126_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,100_1_7,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,100_2_8,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,100_3_9,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,100_4_10,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,100_11_15,125_11_11,154_15_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,100_12_16,125_12_12,154_16_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,100_13_17,125_13_13,154_17_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,100_14_18,125_14_14,154_18_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,100_11_15,118_6_10,126_6_10,153_4_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,100_11_15,118_7_11,126_7_11,153_4_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,100_11_15,118_9_13,126_9_13,153_4_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,100_11_15,118_12_16,126_12_16,153_4_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,100_6_10,115_4_6,795_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,100_6_10,125_11_15,155_6_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,100_6_10,125_12_16,155_6_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,100_6_10,125_13_17,155_6_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,100_6_10,125_14_18,155_6_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,125_30_30,100_26_30,118_30_30,119_30_30,155_30_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,100_6_10,128_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,100_11_15,119_16_25,155_5_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,126_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,126_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,126_8_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,118_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,118_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,118_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,118_8_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,125_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,125_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,125_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,125_8_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,100_1_4,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,100_2_4,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,100_2_5,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,100_3_5,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,100_1_3,119_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,100_2_3,119_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,100_2_4,119_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,100_3_4,119_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,124_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,124_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,124_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,124_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,123_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,123_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,123_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,123_8_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,119_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,119_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,119_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,119_8_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,128_1_1,123_11_30,153_54_54,176_2_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,115_2_2,126_5_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,115_2_2,126_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,118_25_25,119_25_25,155_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,100_2_6,126_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,100_3_7,126_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,100_4_8,126_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,100_3_7,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,100_5_9,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,100_7_11,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,100_1_5,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,100_2_6,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,100_3_7,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,100_4_8,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,100_1_5,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,100_2_6,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,100_3_7,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,100_4_8,125_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,123_21_35,115_2_2,112_1_1,154_11_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,124_4_4,126_4_4,125_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,125_6_6,119_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,115_5_5,112_2_2,111_1_1,157_20_20,156_20_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,124_16_25,125_16_25,126_16_25,111_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,117_1_1,125_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,100_11_15,124_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,100_12_16,124_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,100_13_17,124_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,100_14_18,126_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,100_6_10,126_11_15,157_1_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,124_10_10,100_10_14,157_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,111_1_1,128_1_1,100_16_20,117_1_1,157_11_40,124_21_40,126_21_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,100_11_15,119_31_45,125_31_45,117_1_1,152_1_10,157_1_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,100_12_16,126_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,100_13_17,126_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,100_14_18,126_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,100_15_19,126_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,100_2_4,124_6_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,100_7_11,125_5_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,100_11_15,111_1_1,125_40_40,124_25_25,154_40_40,115_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,100_9_13,124_26_30,123_31_40,117_1_1,157_1_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,118_30_30,100_26_40,119_40_40,125_40_40,155_10_10,156_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,125_31_50,115_4_4,155_11_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,100_16_20,124_21_30,126_21_30,115_3_5,153_11_20,119_21_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,100_4_6,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,100_4_7,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,100_5_7,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,100_5_8,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,100_1_3,119_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,100_1_4,119_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,100_2_4,119_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,100_2_5,119_8_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,100_10_14,119_31_40,155_1_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,100_12_18,123_31_40,125_31_40,115_2_6,157_11_20,119_31_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,100_10_14,125_30_30,111_1_1,123_30_30,156_10_10,112_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,100_11_15,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,100_12_16,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,100_13_17,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,100_14_18,118_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,100_6_10,126_5_5,154_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,100_7_11,126_7_7,154_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,100_8_12,126_9_9,154_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,100_9_13,126_11_11,154_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,100_16_25,119_21_30,125_51_70,126_21_30,118_21_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,182_1_1,126_36_45,100_16_23,124_36_45,125_11_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,100_16_20,119_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,119_21_30,100_6_10,157_1_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,100_16_20,123_21_40,157_1_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,100_6_10,125_5_5,154_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,100_6_10,125_7_7,154_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,100_6_10,125_9_9,154_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,100_6_10,125_11_11,154_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,100_6_10,118_5_5,155_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,100_7_11,118_7_7,155_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,100_8_12,118_9_9,155_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,100_9_13,118_11_11,155_3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,125_31_50,115_3_5,96_7_13,111_1_1,123_16_30,182_1_1,112_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,100_16_20,125_10_10,156_2_2,795_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,125_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,125_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,125_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,125_8_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,118_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,118_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,118_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,118_8_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,119_2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,119_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,119_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,119_8_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,100_3_7,119_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,100_3_7,119_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,100_3_7,119_7_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,100_3_7,123_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,100_16_25,125_31_40,138_11_15,119_21_30,157_1_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,100_6_10,115_1_1,795_1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,100_4_8,125_20_20,115_1_1,157_10_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,100_1_15,118_20_20,117_1_1,155_14_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,119_4_4,125_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,125_4_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,123_6_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
