push_number,l_value
2,1
4,1
39,1
40,2
42,3
43,6
44,7
46,13
47,13
48,14
49,15
51,21
53,22
54,24
55,26
58,21
59,13
60,15
61,16
62,17
65,40
66,33
67,22
68,2
69,6
70,8
74,1
75,2
76,6
77,8
81,1
82,2
83,6
84,8
88,1
89,2
90,3
91,4
94,2
95,4
96,6
97,7
100,1
101,2
102,6
103,8
109,1
110,2
111,6
112,8
118,1
119,2
120,5
121,8
127,50
128,22
129,24
130,27
132,2
133,4
134,5
138,2
139,7
140,9
144,1
145,2
146,4
147,6
150,1
151,2
152,4
153,6
156,31
157,17
158,12
159,40
160,62
161,27
162,13
163,13
164,14
165,15
168,20
174,20
180,105
181,52
182,13
183,14
184,15
185,15
188,14
194,16
200,67
201,55
202,52
203,33
204,59
205,10
206,11
207,12
208,13
211,10
212,13
213,15
214,17
218,29
219,64
220,73
221,13
222,13
223,14
224,15
227,13
228,15
229,18
230,19
233,82
234,66
235,16
236,23
237,27
238,13
239,15
240,16
241,17
244,13
245,15
246,17
247,19
250,72
252,1
253,2
254,6
255,8
256,1
257,2
258,6
259,8
260,1
261,3
262,6
263,8
264,14
265,16
266,18
267,19
270,60
271,21
272,28
273,33
274,12
276,12
278,15
279,2
280,6
281,1
282,20
283,10
284,1
285,1
286,1
287,1
288,12
289,1
290,5
291,70
292,70
293,20
294,23
295,26
296,29
297,1
298,1
299,24
300,5
301,4
302,15
303,1
304,9
305,20
306,5
307,2
308,64
309,6
310,34
311,1
312,1
313,80
315,50
316,50
317,30
318,34
319,37
320,40
323,43
324,6
325,2
326,33
327,16
328,18
329,30
331,22
332,30
333,50
334,20
335,58
336,32
337,20
338,21
339,27
340,12
341,46
342,18
345,25
346,17
347,40
348,53
350,60
352,13
353,21
354,25
355,12
356,27
357,13
358,21
359,29
360,11
361,20
362,2
363,9
364,7
365,2
366,4
367,4
369,10
4231,147
4232,148
4233,148
4234,148
4235,149
4236,149
4237,149
4238,150
4239,150
4240,150
4241,100
4242,75
4243,5
4244,5
4245,5
4246,6
4247,6
4248,6
4249,7
4250,7
4251,7
4252,8
4253,8
4254,8
4255,9
4256,9
4257,9
4258,10
4259,10
4260,10
4261,11
4262,11
4263,11
4264,12
4265,12
4266,12
4267,13
4268,13
4269,13
4270,14
4271,14
4272,14
4273,15
4274,15
4275,15
4276,16
4277,16
4278,16
4279,17
4280,17
4281,17
4282,18
4283,18
4284,18
4285,19
4286,19
4287,19
4288,20
4289,20
4290,20
4291,21
4292,21
4293,21
4294,22
4295,22
4296,22
4297,23
4298,23
4299,23
4300,24
4301,24
4302,24
4303,25
4304,25
4305,25
4306,26
4307,26
4308,26
4309,27
4310,27
4311,27
4312,28
4313,28
4314,28
4315,29
4316,29
4317,29
4318,30
4319,30
4320,30
4321,31
4322,31
4323,31
4324,32
4325,32
4326,32
4327,33
4328,33
4329,33
4330,34
4331,34
4332,34
4333,35
4334,35
4335,35
4336,36
4337,36
4338,36
4339,37
4340,37
4341,37
4342,38
4343,38
4344,38
4345,39
4346,39
4347,39
4348,40
4349,40
4350,40
4351,41
4352,41
4353,41
4354,42
4355,42
4356,42
4357,43
4358,43
4359,43
4360,44
4361,44
4362,44
4363,45
4364,45
4365,45
4366,46
4367,46
4368,46
4369,47
4370,47
4371,47
4372,48
4373,48
4374,48
4375,49
4376,49
4377,49
4378,50
4379,50
4380,50
4381,82
4382,85
4383,51
4384,51
4385,51
4386,52
4387,52
4388,52
4389,53
4390,53
4391,53
4392,54
4393,54
4394,54
4395,55
4396,55
4397,55
4398,56
4399,56
4400,56
4401,57
4402,57
4403,57
4404,58
4405,58
4406,58
4407,59
4408,59
4409,59
4410,60
4411,60
4412,60
4413,61
4414,61
4415,61
4416,62
4417,62
4418,62
4419,63
4420,63
4421,63
4422,64
4423,64
4424,64
4425,65
4426,65
4427,65
4428,66
4429,66
4430,66
4431,67
4432,67
4433,67
4434,68
4435,68
4436,68
4437,69
4438,69
4439,69
4440,70
4441,70
4442,70
4443,71
4444,71
4445,71
4446,72
4447,72
4448,72
4449,73
4450,73
4451,73
4452,74
4453,74
4454,74
4455,75
4456,75
4457,75
4458,76
4459,76
4460,76
4461,77
4462,77
4463,77
4464,78
4465,78
4466,78
4467,79
4468,79
4469,79
4470,80
4471,80
4472,80
4473,81
4474,81
4475,81
4476,82
4477,82
4478,82
4479,83
4480,83
4481,83
4482,84
4483,84
4484,84
4485,85
4486,85
4487,85
4488,86
4489,86
4490,86
4491,87
4492,87
4493,87
4494,88
4495,88
4496,88
4497,89
4498,89
4499,89
4500,90
4501,90
4502,90
4503,91
4504,91
4505,91
4506,92
4507,92
4508,92
4509,93
4510,93
4511,93
4512,94
4513,94
4514,94
4515,95
4516,95
4517,95
4518,96
4519,96
4520,96
4521,97
4522,97
4523,97
4524,98
4525,98
4526,98
4527,99
4528,99
4529,99
4530,100
4531,100
4532,100
4533,101
4534,101
